이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2021/04/20/SB000000000025815201_1618918254_image1_S.jpeg,하루배송,씨리얼,[세트가격] 3ps 모찌 나시 가디건 와이드 팬츠 트레이닝 세트 (3color)_씨리얼,10%,"31,950원","35,500원","5,517개 구매중",원피스
https://image.brandi.me/cproduct/2022/05/09/SB000000000032178347_1652076680_image1_S.jpeg,하루배송,루즈브라운,"말라보이는, 코튼 카라 셔츠 잘록 버클 랩 반팔 롱 원피스 (3 color) _루즈브라운",10%,"33,660원","37,400원",628개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/30/SB000000000057557182_1648610206_image1_S.jpeg,하루배송,이프유마인,*3pc* [나시+가디건+팬츠set!] 봄 여름 꾸안꾸 찰랑 크롭 가디건 나시 와이드 트레이닝 세트 [3color]_이프유마인,10%,"31,950원","35,500원",124개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/10/SB000000000055193091_1646894726_image1_S.jpeg,하루배송,클루이가넷x하루배송,새틴 실크 슬립 나시 맥시 롱원피스 뷔스티에 셀프웨딩 드레스_클루이가넷_2,10%,"24,930원","27,700원","1,119개 구매중",원피스
https://image.brandi.me/cproduct/2020/06/05/17141051_1591364086_image1_M.jpg,하루배송,아이메리,[3col/찰랑핏] 루즈핏 브이넥 퍼프 벌룬 소매 반팔 리본 벨트 언발 롱 셔츠 원피스 / 셔츠원피스 _아이메리,10%,"33,660원","37,400원",687개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/06/SB000000000061415257_1651829238_image1_S.jpeg,하루배송,프렌치오브,(3color)후르츠 여름 나시 바캉스 레이어드 미니 원피스_프렌치오브,10%,"46,170원","51,300원",28개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/20/SB000000000062644407_1653013674_image1_S.jpeg,하루배송,블루밍에이치,[포인트셋업] 스타일리쉬 플리츠 셔츠 밴딩 숏팬츠 투피스 3color_블루밍에이치,10%,"72,810원","80,900원",74개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/27/SB000000000063426612_1653628874_image1_S.jpeg,하루배송,302호,엘사 린넨롱 뷔스티에원피스_302호,10%,"30,240원","33,600원",22개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/15/SB000000000055836273_1647340804_image1_S.jpeg,하루배송,비비드글로우,"[쿠폰][44~88/홈웨어,임부복강추!] 플리츠 5부 반팔 홈웨어 오버핏 롱 원피스_비비드글로우",10%,"24,930원","27,700원",455개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/13/SB000000000059225441_1649838565_image1_S.jpeg,하루배송,먼데이로우,써머링 퍼프 스트링롱원피스_먼데이로우,10%,"39,060원","43,400원",209개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/14/SB000000000059347230_1649943413_image1_S.jpeg,하루배송,데일리유,"[데일리,핏보장] 벨리,스퀘어 퍼프 반팔 미니원피스 [3color]_데일리유",10%,"21,330원","23,700원",238개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/07/SB000000000064119991_1654570712_image1_S.jpeg,하루배송,유이아,[뒷태여신/휴가룩!] 플라워 딥 백라인 슬릿 언발 맥시 롱 원피스 3COL_유이아,10%,"35,460원","39,400원",18개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/29/SB000000000060782991_1651210058_image1_S.jpeg,하루배송,프렌치오브,(5color)도넛 파스텔 퍼프 여름 반팔 롱 원피스_프렌치오브,10%,"46,170원","51,300원",187개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/08/SB000000000064318781_1654676311_image1_S.jpeg,하루배송,헤이로지즈,[쿠폰] 존예! 머메이드 U넥 셔링 롱원피스 _헤이로지즈,10%,"31,950원","35,500원",34개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/14/SB000000000062152440_1652530701_image1_S.jpeg,하루배송,302호,부드러운 린넨퍼프소매 스퀘어 롱원피스_302호,10%,"39,060원","43,400원",56개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/21/SB000000000060031501_1650552187_image1_S.jpeg,하루배송,데이지멜로우,메이 베이직 트임 나시 미니원피스 ops_데이지멜로우,9%,"28,760원","31,600원",87개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/23/SB000000000062776969_1653271362_image1_S.jpeg,하루배송,유라타임,무아 반팔 셔츠 롱 원피스_유라타임,10%,"39,060원","43,400원",107개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/26/SB000000000060421801_1650974081_image1_S.jpeg,하루배송,미우블랑,"[린넨60] 단아한 핀턱 반팔 린넨 롱 원피스 (하객룩,데이트룩)_미우블랑",9%,"28,760원","31,600원",83개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/25/SB000000000028909937_1621922190_image1_S.jpeg,하루배송,로즈화이트,스퀘어넥 끈나시 린넨 롱원피스_로즈화이트,9%,"34,030원","37,400원",768개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/24/SB000000000063123657_1653404260_image1_S.jpeg,하루배송,럽앤썸,케네디 물결 셔링 골지 미니원피스 5color_럽앤썸,10%,"17,730원","19,700원",106개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/06/SB000000000064094849_1654530782_image1_S.jpeg,하루배송,블리즈,[휴양룩추천] 뒷트임 화이트 요루 미니원피스_블리즈,10%,"19,530원","21,700원",43개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/22/SB000000000065777489_1655888396_image1_S.jpeg,하루배송,쏠트베이비,(2color) 심플 타이다이 슬립 미니 원피스_쏠트베이비,10%,"19,530원","21,700원",22개 구매중,원피스
https://image.brandi.me/cproduct/2022/04/15/SB000000000059389465_1649997023_image1_S.jpeg,하루배송,이퓨x하루배송,[쿠폰]디어 브이넥 플리츠 원피스 - 4color_이퓨_2,9%,"34,030원","37,400원",368개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/11/SB000000000061822117_1652248416_image1_S.jpeg,하루배송,인더모어,[여름코디끝]린넨 나시 뷔스티에 원피스 자켓 투피스 세트 (3color)_인더모어,10%,"51,480원","57,200원",27개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/18/SB000000000056257196_1647572022_image1_S.jpeg,하루배송,치치룸,[유니크♥] 물결 쟈가드 원피스_치치룸,10%,"49,680원","55,200원",178개 구매중,원피스
https://image.brandi.me/cproduct/2021/06/16/SB000000000031100453_1623856702_image1_S.jpeg,하루배송,수니,데님 아일렛 롱 나시 뷔스티에 원피스_수니,10%,"40,770원","45,300원",264개 구매중,원피스
https://image.brandi.me/cproduct/2022/03/31/SB000000000057474242_1648702880_image1_S.jpeg,하루배송,무드글램,니트원피스 배색원피스 미디원피스 카라원피스 2col_무드글램,9%,"28,760원","31,600원",234개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/31/SB000000000063676793_1653964061_image1_S.jpeg,하루배송,드레스까페,랩 반팔 퍼프 원피스 4color_드레스까페,10%,"21,330원","23,700원",46개 구매중,원피스
https://image.brandi.me/cproduct/2022/06/07/SB000000000063895474_1654575220_image1_S.jpeg,하루배송,유이아,블라썸 컷아웃 쉬폰 여리 스모크 끈 미니 원피스 1COL_유이아,10%,"30,240원","33,600원",21개 구매중,원피스
